date,max_temp,min_temp
2026-09-06,27.5,11.6
2026-09-07,27.6,11.9
2026-09-08,25.1,13.9
2026-09-09,29.5,20.6
2026-09-10,29.3,20.8
2026-09-11,25.3,17.1
2026-09-12,22.5,15.3
